id,hypothesis,change,validation,result,decision
E11,"batter_home_runs has a model problem","anatomy of every scored candidate","SELECT + full OOS","one line exists (0.5); median over +675, median under -1000; the model picks the under on 89.5% of rows at 80-95 confidence, and the D-164 heavy-juice veto removes 37,284 of the 37,310 that clear the confidence floor. 26 rows survive, 1 of them an over","NOT a model problem -- the market is structurally excluded by a shipped product rule. Reported, not chased"
E12,"totals has a model problem","log loss, skill and AUC of every member, SELECT half","SELECT half","every member has NEGATIVE skill; price AUC 0.5018, best member AUC 0.5206; the de-vigged market probability itself has sd 0.017, because the book sets the line to make the total a coin flip","NOT fixable here -- there is no measurable information in the feature set about this market"
E13,The board's edge is really just line shopping -- betting the best number against the consensus fair price,four boards on the same filter: p=raw de-vigged consensus at best price; the recalibrated price member; the v2 ensemble; and p=consensus at the MEDIAN book,"SELECT half, EV floor 0.02, confidence floor 50, both sides","REFUTED. p=consensus at the best price qualifies almost nothing (102 picks on batter_hits, 25 on total_bases, 1-2 on the game markets) and loses where it does (-12.6%, -16.8%, -34.4%); at the median book it qualifies 0-85. The best-vs-consensus spread is not large enough to clear a 2-point EV floor on its own. The board exists because the walk-forward recalibration moves the probability away from the consensus, not because of the price spread","the edge is the model's disagreement with the price, and it is the thing being measured"
E14,"A 4,600-cell global search is 4,600 chances to overfit","among configs within 5% of the best objective, take the fewest ensemble members and then the loosest floors (PARSIMONY_BAND)",built into choose_global; the nested rule check scores the whole rule including this band,see reports/nested_v2.csv,"ADOPTED -- prefer the plateau over the peak, which is also what the brief asks for"
E15,The whole v2 rule generalises one step forward,"run the entire rule -- global search, parsimony band, guarded side lever -- on SELECT-A and score the board on SELECT-B, at three inner cuts, against the incumbent filter on the same windows","run_final_v2.py --nested-only, reports/nested_v2.csv",see reports/nested_v2.csv,"this is the test the adoption decision was taken on, before any verdict-window number for v2 existed"
E15-RULE,"Pre-registered adoption criterion, written before reports/nested_v2.csv existed","adopt v2 only if, pooled over the three inner cuts of the held-out SELECT-B tail, v2's markets-in-profit is at least (baseline - 1) AND v2's held-out units are at least 1.25x baseline's",run_final_v2.py --nested-only,pending at the time this row was written,"the one-market tolerance is for noise in a count over 33 market-splits; the units bar is there because the whole point of v2 is to deliver the same edge on more volume, which is what an n>=500 gate needs. If v2 misses either bar the baseline stands and the report says so"
E16,"A richer PRICE-ONLY member beats priceflex/priceshop: vig width and book count, line position on the ladder, or an isotonic price map","three new walk-forward members (pricevig, priceline, priceiso) on cache columns only","SELECT-half log loss, skill and calibration slope, all 11 markets, exp_price_members.py","no candidate beats the incumbents by more than 0.0005 skill on any market -- 4th-decimal differences, the same noise band E8 measured -- and priceiso is uniformly worse (slope 0.07-0.24). The price-only family is saturated","REJECTED -- not added to the member pool; widening a 4,600-cell search without adding information is pure overfit risk"
E17-RULE,"Pre-registered, written before reports/nested_rules.csv existed. The v2 nested test was unfair: its baseline arm held a filter fixed that had been chosen on the WHOLE select half, including the SELECT-B tail it was then scored on, while the v2 arm re-derived everything from SELECT-A. Re-run with BOTH rules chosen on SELECT-A only, and add the one v2 change that cannot touch the eight prop markets by construction: scoring the three GAME markets through ev_filtered instead of ev_pass","three rules on identical windows -- baseline (run_final objective and grid), baseline+gameEV (identical but parity=ev_filtered on totals/h2h/spreads), and v2 -- each chosen on SELECT-A and scored on SELECT-B at three inner cuts","exp_nested_rules.py, SELECT half only, verdict window never read","pending at the time this row was written","ADOPT a rule only if it beats the fairly-run baseline on held-out market-splits in profit; for baseline+gameEV additionally REQUIRE that the eight prop markets are bit-identical to baseline (asserted, not inspected), so the change cannot be buying game markets with prop markets"
E17,"Re-run of the nested rule check with BOTH rules derived on SELECT-A only (the v2 file's own version held the incumbent filter fixed at a setting chosen on the whole SELECT half, SELECT-B included)","exp_nested_rules.py: baseline, baseline+gameEV and v2, identical windows, three inner cuts","held-out SELECT-B tail, verdict window never read","run fairly the pooled result REVERSES the v2 file's own: baseline 18/33 splits in profit on 42,834 picks worth 856.5u, median ROI 1.25%; v2 24/33 on 22,021 picks worth 771.3u, median ROI 4.07%. The earlier 27/33 for the baseline was an artifact of scoring it on data that had chosen it. baseline+gameEV 17/33 and its isolation claim is FALSE -- changing the game parity changed the globally chosen filter at inner cut 0.7 and moved all eight prop boards with it","v2 REJECTED anyway, by the pre-registered E15-RULE, on the units bar: 771.3u against a 1.25x bar of 1070.6u. The bar exists precisely to stop a rule buying rate by starving volume, and that is exactly what v2 does here (22k picks against 43k). baseline+gameEV REJECTED on both its result and its false premise"
E18-RULE,"Pre-registered, written before any conf-60 number existed. The D-164 heavy-juice veto only fires at confidence >= 60, so any board with a confidence floor below 60 is made of picks the veto cannot reach AND that production would never show -- isEvPassPick returns false under 60 (harness/lib/metrics.ts:149). run_final.py sweeps the floor and chose 55; run_final_v2.py sweeps it to 0","pin the confidence floor to the shipped 60 and REMOVE it from the global search, changing nothing else","the same fair nested test, as a fourth rule, plus a full authoritative run","pending at the time this row was written","ADOPT if the pinned rule is at least as good as the swept baseline on held-out market-splits in profit. This knob is not being tuned -- it is being pinned to the value production already enforces, which strictly SHRINKS the search. If it costs held-out performance that is a finding about the product rule, and it is reported as one rather than reversed"
E19-RULE,"Pre-registered, written before any handedness number existed. features.py contains NO handedness of any kind, which is the largest single gap in the feature set: the platoon split is the best-established effect in baseball and the book prices it every night. cache_mlb_player_metadata gives bats/throws (STATIC, so no as-of question) and cache_mlb_historical_opposing_pitcher gives the announced starter and his hand for 100% of priced games","add oppSpLhp, selfLh, platoon, vhClr, vhClrEdge, vhN, vhRate, vhRateRel, oppAllowVsHand -- the matchup, the player's own as-of record against that hand, and the opposing lineup's as-of record against it. Built into a SEPARATE cache dir so the _c60 cache is untouched","check_asof_hands.py first (recompute the split the slow way, assert the strictly-earlier cut AND that the value would move if the game's own day were let in), then the nested SELECT-A choose / SELECT-B score protocol at three inner cuts, rule pinned to the _c60 rule","pending at the time this row was written","ADOPT only if held-out SELECT-B market-splits in profit is strictly GREATER than the _c60 feature set on the same windows, AND the four currently-strong markets (batter_hits, batter_rbis, batter_total_bases, batter_strikeouts) do not lose splits in aggregate. A tie is a rejection: a feature set that costs nothing and gains nothing is complexity"
E19,"Handedness closes the largest gap in the feature set","oppSpLhp, selfLh, platoon, vhClr, vhClrEdge, vhN, vhRate, vhRateRel, oppAllowVsHand, built into cache_h; as-of verified by check_asof_hands.py (0 mismatches, 0 wrong-hand, 47-97% of rows would move if the game's own day were let in)","nested SELECT-A choose / SELECT-B score at three inner cuts (exp_featureset.py), then an independent SELECT-half log-loss measurement","REJECTED on both lines. Nested: 19/33 held-out splits in profit vs 20/33 for the incumbent feature set, and the four strong markets fell 12/12 -> 11/12, so it fails the pre-registered bar. Log loss: adding handedness changes gbm skill by +0.0008/+0.0005/+0.0016 on the markets it helps -- the same fourth-decimal band E8 and E16 called noise -- and only 21 of 55 member-market cells improve, worse than a coin flip. The nested ROI gains on batter_runs_scored/rbis/pitcher_outs were board-selection noise, not information","REJECTED. The platoon matchup is already in the price: the book knows the starter and the batter's hand too. Kept in the tree behind a separate cache dir so the measurement is reproducible, but NOT in the production feature set"
E20-RULE,"Pre-registered, written before any hybrid board number existed. The production spec `gbm` has LESS SELECT-half skill than the recalibrated price alone on 9 of 11 markets, and by 10-30x the known noise band on the four weakest (totals -0.0379, spreads -0.0304, h2h -0.0185, pitcher_outs -0.0159). One global spec is chosen by pooling, the pool is dominated by two 30k-row batter markets where gbm and price tie, and that answer is imposed on a 1,680-row market where it is badly wrong","stop asking the model for the probability and ask it how far to move the price: logit(p) = logit(p_price) + w*(logit(p_model) - logit(p_price)), w one number per market, grid-searched on log loss, re-fitted at every walk-forward fold boundary using ONLY predictions from EARLIER folds (already out of sample). w=0 until MIN_FIT=500 such rows exist, so the price is the prior and the model must earn its way off it. Added as ONE new member, hyb_gbm, to the existing pool -- no per-market knob is set by hand","SELECT-half skill first, then the nested SELECT-A choose / SELECT-B score protocol at three inner cuts with the confidence floor pinned at 60","skill measured BEFORE the board test: hybrid beats gbm on 10/11 markets (totals +0.0368, spreads +0.0301, h2h +0.0193, pitcher_outs +0.0161) and is within 0.0011 of price on the 3 where it trails. Learned w matches the skill ranking with no hand-tuning: 0.00 totals/spreads, 0.20 h2h/pitcher_outs, 0.50-0.70 batter_hits/rbis","ADOPT only if held-out SELECT-B market-splits in profit is strictly GREATER than the incumbent pool on the same windows AND the four strong markets do not lose splits in aggregate; if splits tie, require >=15% more held-out units. Board-level ROI decides adoption, not the skill table above"
E20,"Adding the price-anchored hybrid to the member pool improves the held-out board","one extra member, hyb_gbm, offered to the same global search","nested SELECT-A choose / SELECT-B score, three inner cuts, floor pinned 60","REJECTED, and instructively: the two arms are BIT-IDENTICAL. The search never picked hyb_gbm at any of the three inner cuts, so 20/33 splits, 15,052 picks and 508.8 units in both arms. The reason is structural -- run_final's objective counts markets clearing the SELECT gate, that gate needs n>=500, and a price-anchored probability disagrees with the price LESS and therefore produces a SMALLER board. The objective rewards disagreement because disagreement makes volume, so a better-calibrated member can never win a menu contest under it","REJECTED as pre-registered (equal splits, equal units, so the 1.15x units tie-break fails). The hybrid was never exercised, so this says nothing about the hybrid itself"
E21-RULE,"Pre-registered, written before any anchored-architecture board number existed. E20 showed a better member cannot win a menu contest under an objective that rewards disagreement. So stop offering the anchor as an option and make it STRUCTURAL: every candidate probability is logit(price) + w*(logit(ensemble) - logit(price)), w learned per market at each walk-forward boundary from earlier out-of-sample folds only. The global search then chooses what goes INSIDE the anchor, not whether to use it. This REMOVES a degree of freedom rather than adding one, the same shape of argument as E18","replace prob(c, spec) with hybrid.blend_arrays(c, mean of spec members); everything else -- spec menu, EV floors, collapse, side lever, floor 60, gate, windows -- identical","nested SELECT-A choose / SELECT-B score, three inner cuts; verdict window never read","pending at the time this row was written","ADOPT only if held-out SELECT-B splits in profit >= incumbent AND held-out units >= incumbent AND strictly better on at least one of the two, AND the four strong markets do not lose splits. This is the LAST architectural experiment of round 3: if it fails, the _c60 solution stands and the report says the search space was exhausted"
E21,"Make the price anchor STRUCTURAL rather than optional: every candidate probability becomes logit(price) + w*(logit(ensemble) - logit(price)), w learned per market at each walk-forward boundary from earlier out-of-sample folds only","hybrid.blend_arrays wrapped around the whole spec ensemble; spec menu, EV floors, collapse, side lever, floor 60, gate and windows all unchanged","nested SELECT-A choose / SELECT-B score, three inner cuts (exp_hybrid.py --anchored-only)","REJECTED on 2 of the 3 pre-registered conditions. Splits in profit 23 vs 20 (BETTER), but held-out units 308.4 vs 508.8 (WORSE) and the four strong markets fell 12/12 -> 11/12. It also produced NO BOARD AT ALL for totals at all three cuts and for batter_home_runs at cut 0.7, because anchoring reduces disagreement with the price and the board falls under MIN_SELECT_N. Directionally it is striking on the thin markets -- pitcher_outs -7.6/-8.2/-3.3 becomes +4.7/+12.3/+12.2, spreads becomes positive at all three cuts, rbis reaches 11.7-13.4% -- and clearly wrong on the thick ones, batter_hits 14.3/20.7/21.3 falling to 5.8/6.7/-0.6. Part of that fall is a confound: arm C's search also moved the EV floor from 0.00 to 0.04, so the anchor is not cleanly isolated","REJECTED as pre-registered, and round 3 stops here as E21-RULE said it would. This is the single most promising direction for a future round -- it is right for thin markets and wrong for thick ones -- but isolating it from the EV-floor confound needs a FRESH pre-registration, not a re-read of this one"
